Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year
Ha Noi,2031.1,6761.3,97.8,1.93,3572.9,Hong river Delta,2011
Vinh Phuc,818,1011.4,97.6,0.38,608.3,Hong river Delta,2011
Bac Ninh,1292.6,1063.4,96.7,1.84,593.5,Hong river Delta,2011
Quang Ninh,191.4,1168,105.4,0.93,675,Hong river Delta,2011
Hai Duong,1044.6,1729.8,96.1,0.78,1071,Hong river Delta,2011
Hai Phong,1234,1879.8,98.5,1.19,1075.3,Hong river Delta,2011
Hung Yen,1229.4,1138.4,97.1,0.54,707.1,Hong river Delta,2011
Thai Binh,1137.5,1785.9,94.6,0.07,1134.2,Hong river Delta,2011
Ha Nam,914.5,786.9,95.5,0.07,464,Hong river Delta,2011
Nam Dinh,1110.3,1833.5,95.8,0.19,1082.2,Hong river Delta,2011
Ninh Binh,652.9,907.7,99.1,0.66,553,Hong river Delta,2011
Ha Giang,94.3,746.6,99.8,1.75,467.7,Midlands and northern mountains,2011
Cao Bang,76.6,514,98.3,0.18,341.2,Midlands and northern mountains,2011
Bac Kan,61.8,300.4,102.6,0.99,199.6,Midlands and northern mountains,2011
Tuyen Quang,125.3,734.9,100.5,0.76,450.3,Midlands and northern mountains,2011
Lao Cai,99.8,637,101.3,1.63,377.8,Midlands and northern mountains,2011
Yen Bai,110.2,758.6,99.7,0.98,478.5,Midlands and northern mountains,2011
Thai Nguyen,322.6,1139.4,97.2,0.72,687.7,Midlands and northern mountains,2011
Lang Son,89,740.8,99.6,0.61,480.1,Midlands and northern mountains,2011
Bac Giang,411.5,1581.8,98.5,0.76,989.4,Midlands and northern mountains,2011
Phu Tho,376.2,1329.3,97.3,0.51,841.3,Midlands and northern mountains,2011
Dien Bien,53.4,510.8,100.1,1.92,300.4,Midlands and northern mountains,2011
Lai Chau,42.9,389.4,104.7,2.27,224.8,Midlands and northern mountains,2011
Son La,78.9,1118.6,101,1.79,684,Midlands and northern mountains,2011
Hoa Binh,173.4,799,98.3,0.93,536.2,Midlands and northern mountains,2011
Thanh Hoa,308.8,3437.7,97.7,0.47,2225.1,North Central and Central Coast,2011
Nghe An,179.2,2955.9,98.5,0.75,1757.8,North Central and Central Coast,2011
Ha Tinh,206.4,1237.8,97.8,0.42,702.3,North Central and Central Coast,2011
Quang Binh,105.8,853.4,100.1,0.56,484.4,North Central and Central Coast,2011
Quang Tri,127.6,604.7,97.9,0.51,334,North Central and Central Coast,2011
Thua Thien Hue,219.2,1103.1,98,1.12,596.8,North Central and Central Coast,2011
Da Nang,736,946,95.7,2.53,496.2,North Central and Central Coast,2011
Quang Nam,138.2,1442.7,95.6,0.66,811.6,North Central and Central Coast,2011
Quang Ngai,237.8,1225.2,97.3,0.35,711,North Central and Central Coast,2011
Binh Dinh,247.6,1498.2,95.1,0.42,880.4,North Central and Central Coast,2011
Phu Yen,171.9,870,100.2,0.45,513.1,North Central and Central Coast,2011
Khanh Hoa,224.5,1171.4,98,0.61,656.6,North Central and Central Coast,2011
Ninh Thuan,170.9,574.1,100.9,0.81,317.2,North Central and Central Coast,2011
Binh Thuan,151.6,1184.5,100.9,0.66,664.4,North Central and Central Coast,2011
Kon Tum,46.6,451.6,109.7,2.15,259.7,Highlands,2011
Gia Lai,85.1,1321.7,103.1,1.55,783.9,Highlands,2011
Dak Lak,134.9,1770.5,101.9,1.02,1012.2,Highlands,2011
Dak Nong,79.7,519.6,112.2,3.13,306.6,Highlands,2011
Lam Dong,124.7,1218.7,100.1,1.21,689.1,Highlands,2011
Binh Phuoc,130.6,897.3,101.9,1.29,531.7,South East,2011
Tay Ninh,267.8,1082,98.2,0.72,644.5,South East,2011
Binh Duong,615.8,1659.1,92.7,4.3,1077.6,South East,2011
Dong Nai,446.9,2640.2,96.8,2.67,1553.8,South East,2011
Ba Ria - Vung Tau,513.9,1022.5,99.9,1.1,553.9,South East,2011
Ho Chi Minh,3578.2,7498.4,91.1,2.07,4000.9,South East,2011
Long An,322.7,1449.9,98.7,0.49,841.7,Mekong Delta,2011
Tien Giang,670.8,1682.6,97.2,0.27,987.7,Mekong Delta,2011
Ben Tre,532.7,1257.4,96.3,0.06,777.1,Mekong Delta,2011
Tra Vinh,432.7,1013.1,97.1,0.5,616.6,Mekong Delta,2011
Vinh Long,687.5,1029.1,97.1,0.25,622.8,Mekong Delta,2011
Dong Thap,495,1671.7,99.3,0.12,994.4,Mekong Delta,2011
An Giang,607.6,2149,98.9,0.03,1300.4,Mekong Delta,2011
Kien Giang,269.5,1710.9,101.1,0.72,1008.6,Mekong Delta,2011
Can Tho,857.3,1208,98.8,0.84,690.7,Mekong Delta,2011
Hau Giang,475.3,761.7,101.6,0.25,456,Mekong Delta,2011
Soc Trang,392.1,1298.4,98.8,0.21,744.1,Mekong Delta,2011
Bac Lieu,350.3,864.9,99,0.46,514,Mekong Delta,2011
Ca Mau,228.5,1210,101,0.13,684.3,Mekong Delta,2011
Ha Noi,2065.6,6865.2,95.4,1.54,3702.5,Hong river Delta,2012
Vinh Phuc,826.8,1022.4,97.6,1.09,607.2,Hong river Delta,2012
Bac Ninh,1319.8,1085.8,96.8,2.1,625.3,Hong river Delta,2012
Quang Ninh,193,1177.7,103.4,0.83,691.9,Hong river Delta,2012
Hai Duong,1051.8,1741.7,96.1,0.69,1060.6,Hong river Delta,2012
Hai Phong,1249.5,1904.1,98.6,1.29,1089,Hong river Delta,2012
Hung Yen,1235.5,1144.1,97.5,0.5,702,Hong river Delta,2012
Thai Binh,1138.5,1787.4,93.8,0.08,1113.1,Hong river Delta,2012
Ha Nam,920.6,792.2,96.1,0.68,469.2,Hong river Delta,2012
Nam Dinh,1110.4,1835.1,95.8,0.09,1112.1,Hong river Delta,2012
Ninh Binh,667.6,919.1,99.3,1.26,553.4,Hong river Delta,2012
Ha Giang,96.2,761.6,99.9,2.01,463.4,Midlands and northern mountains,2012
Cao Bang,76.8,515.2,98.1,0.23,343.8,Midlands and northern mountains,2012
Bac Kan,62.4,303,102.4,0.86,204.8,Midlands and northern mountains,2012
Tuyen Quang,126.3,740.8,100.1,0.8,467,Midlands and northern mountains,2012
Lao Cai,101.3,646.5,101.3,1.5,396.7,Midlands and northern mountains,2012
Yen Bai,111.2,765.7,99.3,0.93,479.6,Midlands and northern mountains,2012
Thai Nguyen,325.1,1149.1,97.2,0.85,716.5,Midlands and northern mountains,2012
Lang Son,89.6,745.3,99.8,0.6,488.1,Midlands and northern mountains,2012
Bac Giang,413.9,1592.9,98.4,0.7,999.1,Midlands and northern mountains,2012
Phu Tho,379.5,1340.8,97.3,0.86,855.1,Midlands and northern mountains,2012
Dien Bien,54.3,519.7,100.2,1.74,306.4,Midlands and northern mountains,2012
Lai Chau,43.8,397.3,104.9,2.03,238.2,Midlands and northern mountains,2012
Son La,80,1134.4,101,1.41,710.9,Midlands and northern mountains,2012
Hoa Binh,174.7,805.2,98.2,0.77,539.6,Midlands and northern mountains,2012
Thanh Hoa,310.6,3457.9,97.6,0.59,2138.1,North Central and Central Coast,2012
Nghe An,180.9,2983.3,98.4,0.92,1826.3,North Central and Central Coast,2012
Ha Tinh,207.3,1243.2,97.7,0.44,706.4,North Central and Central Coast,2012
Quang Binh,106.4,858.3,100.1,0.57,513.8,North Central and Central Coast,2012
Quang Tri,128.3,608.2,98.1,0.57,332.4,North Central and Central Coast,2012
Thua Thien Hue,221.3,1113.9,97.8,0.98,614.8,North Central and Central Coast,2012
Da Nang,751.8,966.3,97.3,2.14,508.8,North Central and Central Coast,2012
Quang Nam,139.2,1452.9,95.7,0.71,838.7,North Central and Central Coast,2012
Quang Ngai,238.7,1229.8,97.3,0.37,725.7,North Central and Central Coast,2012
Binh Dinh,248.3,1502.4,95.1,0.28,893.9,North Central and Central Coast,2012
Phu Yen,173.1,876.1,100.2,0.7,540.5,North Central and Central Coast,2012
Khanh Hoa,226.2,1180.1,97.7,0.75,650.7,North Central and Central Coast,2012
Ninh Thuan,172.5,579.4,101.6,0.91,318.1,North Central and Central Coast,2012
Binh Thuan,152.5,1191.6,101.1,0.6,701.1,North Central and Central Coast,2012
Kon Tum,47.8,462.7,113.5,2.46,265,Highlands,2012
Gia Lai,86.3,1340.5,104.3,1.42,797.3,Highlands,2012
Dak Lak,136.5,1791.4,101.8,1.18,1033.1,Highlands,2012
Dak Nong,82.4,536.7,114.1,3.3,320.7,Highlands,2012
Lam Dong,126.1,1232,100.1,1.09,720.4,Highlands,2012
Binh Phuoc,132.3,908.9,101.9,1.29,568.4,South East,2012
Tay Ninh,269.7,1089.7,97.7,0.71,649.2,South East,2012
Binh Duong,642.4,1731,93.1,4.33,1147.2,South East,2012
Dong Nai,458.4,2707.8,96.2,2.56,1585,South East,2012
Ba Ria - Vung Tau,519.2,1033,99.8,1.03,567.8,South East,2012
Ho Chi Minh,3655.4,7660.3,93.1,2.16,4086.4,South East,2012
Long An,325.1,1460.3,98.7,0.72,894.2,Mekong Delta,2012
Tien Giang,674.8,1692.5,96.2,0.59,1029.4,Mekong Delta,2012
Ben Tre,534,1258.9,96.1,0.12,770.8,Mekong Delta,2012
Tra Vinh,435,1018.4,97,0.52,604.4,Mekong Delta,2012
Vinh Long,687.4,1034.5,97.2,0.53,619.1,Mekong Delta,2012
Dong Thap,496,1675,99.2,0.2,985.2,Mekong Delta,2012
An Giang,608.3,2151.2,98.9,0.1,1304.4,Mekong Delta,2012
Kien Giang,271.5,1723.8,101,0.76,1036.8,Mekong Delta,2012
Can Tho,864.7,1218.3,98.9,0.85,698.9,Mekong Delta,2012
Hau Giang,476.6,763.8,101.6,0.28,456.4,Mekong Delta,2012
Soc Trang,393,1301.5,98.7,0.24,749.4,Mekong Delta,2012
Bac Lieu,352.1,869.3,98.9,0.5,516,Mekong Delta,2012
Ca Mau,228.9,1212.1,100.8,0.17,697.7,Mekong Delta,2012
Ha Noi,2098.8,6977,96.4,1.63,3799.6,Hong river Delta,2013
Vinh Phuc,831.1,1029.4,97.6,0.68,613.2,Hong river Delta,2013
Bac Ninh,1347,1108.2,96.6,2.06,642.1,Hong river Delta,2013
Quang Ninh,194.6,1187.5,106,0.82,711.4,Hong river Delta,2013
Hai Duong,1057.9,1751.8,95.7,0.58,1077,Hong river Delta,2013
Hai Phong,1260.4,1925.2,98.7,1.11,1125.6,Hong river Delta,2013
Hung Yen,1243.6,1151.6,97.6,0.66,708.3,Hong river Delta,2013
Thai Binh,1138.6,1788.1,93.7,0.04,1103.6,Hong river Delta,2013
Ha Nam,925,796,96.8,0.48,473.7,Hong river Delta,2013
Nam Dinh,1113.2,1839.9,96,0.26,1145.4,Hong river Delta,2013
Ninh Binh,672.8,927.2,99.1,0.87,584.1,Hong river Delta,2013
Ha Giang,98,775.8,100.6,1.86,499.1,Midlands and northern mountains,2013
Cao Bang,77.2,517.9,98,0.53,356.1,Midlands and northern mountains,2013
Bac Kan,62.8,305.2,103.1,0.7,214.9,Midlands and northern mountains,2013
Tuyen Quang,127.3,747.2,99.7,0.87,479.1,Midlands and northern mountains,2013
Lao Cai,102.7,655.9,101,1.45,405.3,Midlands and northern mountains,2013
Yen Bai,112.5,774.6,99.4,1.16,495.9,Midlands and northern mountains,2013
Thai Nguyen,326.9,1156,97.2,0.6,716.3,Midlands and northern mountains,2013
Lang Son,90.1,749.7,99.6,0.6,498.5,Midlands and northern mountains,2013
Bac Giang,417.7,1608,96.6,0.95,1000,Midlands and northern mountains,2013
Phu Tho,382.4,1351.2,97.3,0.78,867,Midlands and northern mountains,2013
Dien Bien,55.3,528.5,100.3,1.69,327.7,Midlands and northern mountains,2013
Lai Chau,44.7,405.7,103,2.1,246.4,Midlands and northern mountains,2013
Son La,81.2,1150.5,101.2,1.42,721.8,Midlands and northern mountains,2013
